-15	-14	2368	2350
-14	-13	3164	3147
-13	-12	3817	3798
-12	-11	4665	4643
-11	-10	5557	5524
-10	-9	6494	6461
-9	-8	7381	7335
-8	-7	8828	8775
-7	-6	9550	9505
-6	-5	10624	10560
-5	-4	11949	11882
-4	-3	13205	13139
-3	-2	13844	13767
-2	-1	14818	14728
-1	0	15306	15215
0	1	15580	15479
1	2	15738	15661
2	3	15495	15408
3	4	14587	14507
4	5	13785	13704
5	6	13284	13227
6	7	12366	12293
7	8	11312	11256
8	9	10335	10283
9	10	9060	9012
10	11	8013	7963
11	12	6917	6877
12	13	5497	5471
13	14	4708	4683
14	15	3649	3625
15	16	2537	2520
