-15	-14	1217	1209
-14	-13	1847	1833
-13	-12	2734	2718
-12	-11	3703	3680
-11	-10	4892	4870
-10	-9	6239	6213
-9	-8	7700	7655
-8	-7	9621	9565
-7	-6	11170	11101
-6	-5	12518	12458
-5	-4	14026	13953
-4	-3	15196	15119
-3	-2	16211	16114
-2	-1	16739	16641
-1	0	17203	17101
0	1	17433	17339
1	2	17095	16992
2	3	16643	16563
3	4	16092	16006
4	5	15277	15197
5	6	13510	13414
6	7	12445	12374
7	8	10676	10621
8	9	9120	9059
9	10	7490	7460
10	11	6145	6112
11	12	4858	4839
12	13	3889	3870
13	14	2930	2906
14	15	2130	2121
15	16	1452	1444
