-15	-14	2482	2301
-14	-13	3136	2933
-13	-12	3892	3616
-12	-11	4740	4361
-11	-10	5588	5136
-10	-9	6458	5947
-9	-8	7378	6815
-8	-7	8416	7814
-7	-6	9598	8871
-6	-5	10662	9848
-5	-4	12080	11164
-4	-3	13305	12323
-3	-2	13780	12674
-2	-1	14921	13818
-1	0	15377	14267
0	1	15672	14480
1	2	15694	14514
2	3	15078	13899
3	4	14682	13616
4	5	13739	12822
5	6	13209	12301
6	7	12205	11382
7	8	11271	10561
8	9	10281	9682
9	10	9193	8651
10	11	7917	7414
11	12	6696	6294
12	13	5825	5494
13	14	4618	4354
14	15	3670	3472
15	16	2578	2435
