-15	-14	1194	1116
-14	-13	1918	1763
-13	-12	2783	2588
-12	-11	3788	3507
-11	-10	5021	4682
-10	-9	6282	5856
-9	-8	7904	7395
-8	-7	9394	8763
-7	-6	11024	10252
-6	-5	12606	11659
-5	-4	14029	13003
-4	-3	15348	14289
-3	-2	16007	14856
-2	-1	16971	15748
-1	0	16970	15771
0	1	17417	16193
1	2	17116	15912
2	3	16837	15631
3	4	15982	14926
4	5	14790	13724
5	6	13894	12899
6	7	12086	11214
7	8	10711	9934
8	9	9032	8392
9	10	7731	7176
10	11	6040	5607
11	12	4872	4574
12	13	3829	3579
13	14	2867	2662
14	15	2200	2077
15	16	1433	1323
