-30	-29	2380	2280
-29	-28	2560	2451
-28	-27	2619	2483
-27	-26	2950	2808
-26	-25	3226	3047
-25	-24	3078	2924
-24	-23	3361	3150
-23	-22	3616	3343
-22	-21	3915	3693
-21	-20	3973	3710
-20	-19	3895	3645
-19	-18	4092	3795
-18	-17	4420	4089
-17	-16	4321	4016
-16	-15	4538	4220
-15	-14	4658	4350
-14	-13	4452	4210
-13	-12	4723	4417
-12	-11	5254	4850
-11	-10	5439	5008
-10	-9	5316	4938
-9	-8	5821	5406
-8	-7	5363	4983
-7	-6	5314	4885
-6	-5	5630	5221
-5	-4	5739	5317
-4	-3	5789	5442
-3	-2	6060	5558
-2	-1	5897	5439
-1	0	5994	5598
0	1	5905	5524
1	2	5811	5401
2	3	5963	5528
3	4	6013	5635
4	5	5689	5304
5	6	5875	5453
6	7	5567	5190
7	8	5498	5064
8	9	5094	4766
9	10	4961	4618
10	11	4761	4447
11	12	4598	4260
12	13	4536	4267
13	14	4603	4269
14	15	4575	4310
15	16	4406	4093
16	17	3843	3580
17	18	3555	3312
18	19	3405	3181
19	20	3209	2982
20	21	3261	3044
21	22	2988	2795
22	23	2910	2687
23	24	2740	2540
24	25	2638	2441
25	26	2356	2193
26	27	2312	2182
27	28	2142	1987
28	29	1897	1749
29	30	1957	1753
30	31	1711	1608
